participant_code,session_key,module_id,section_id,question_id,answer_value,effort_rating,presented_at,answered_at,presented_epoch_ms,answered_epoch_ms,response_time_ms,response_time_seconds,flag
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-nutrition,hms-overall-health-q16,2,5,2026-09-22T06:14:47.481000+00:00,2026-09-22T06:14:48.352000+00:00,,,871,0.871,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-perceived-health-status,hms-overall-health-q1,3,5,2026-09-22T06:14:50.872000+00:00,2026-09-22T06:14:51.520000+00:00,,,648,0.648,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-concussion-tbi-history,hms-overall-health-q6,1,6,2026-09-22T06:14:53.656000+00:00,2026-09-22T06:14:55.713000+00:00,,,2057,2.057,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-concussion-tbi-history,hms-overall-health-q9,1,6,2026-09-22T06:14:58.961000+00:00,2026-09-22T06:15:01.248000+00:00,,,2287,2.287,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-concussion-tbi-history,hms-overall-health-q10,12,7,2026-09-22T06:15:03.937000+00:00,2026-09-22T06:15:06.241000+00:00,,,2304,2.304,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-concussion-tbi-history,hms-overall-health-q7,1,5,2026-09-22T06:15:09.305000+00:00,2026-09-22T06:15:09.969000+00:00,,,664,0.664,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-concussion-tbi-history,hms-overall-health-q8,3,6,2026-09-22T06:15:12.977000+00:00,2026-09-22T06:15:14.705000+00:00,,,1728,1.728,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-exercise,hms-overall-health-q4,2,6,2026-09-22T06:15:16.633000+00:00,2026-09-22T06:15:17.369000+00:00,,,736,0.736,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-exercise,hms-overall-health-q5,2,5,2026-09-22T06:15:20.514000+00:00,2026-09-22T06:15:21.153000+00:00,,,639,0.639,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-exercise,hms-overall-health-q3,6,6,2026-09-22T06:15:23.433000+00:00,2026-09-22T06:15:24.057000+00:00,,,624,0.624,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-overall-health,hms-overall-health-chronic-disease,hms-overall-health-q2,"[""1"",""7""]",7,2026-09-22T06:15:27.065000+00:00,2026-09-22T06:15:32.657000+00:00,,,5592,5.592,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-spending,hms-financial-stress-q11,1,5,2026-09-22T06:15:35.665000+00:00,2026-09-22T06:15:37.145000+00:00,,,1480,1.48,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-spending,hms-financial-stress-q12,2,6,2026-09-22T06:15:39.329000+00:00,2026-09-22T06:15:39.993000+00:00,,,664,0.664,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-spending,hms-financial-stress-q13,"{""hms-financial-stress-q13-i0"":""2"",""hms-financial-stress-q13-i1"":""2""}",7,2026-09-22T06:15:43.738000+00:00,2026-09-22T06:15:46.105000+00:00,,,2367,2.367,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-housing-concerns,hms-financial-stress-q6,1,6,2026-09-22T06:15:49.561000+00:00,2026-09-22T06:15:55.177000+00:00,,,5616,5.616,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-housing-concerns,hms-financial-stress-q7,"[""1"",""2"",""3""]",7,2026-09-22T06:15:57.506000+00:00,2026-09-22T06:16:03.218000+00:00,,,5712,5.712,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-housing-concerns,hms-financial-stress-q8,"[""2""]",5,2026-09-22T06:16:05.530000+00:00,2026-09-22T06:16:06.250000+00:00,,,720,0.72,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-socioeconomic-status,hms-financial-stress-q2,2,7,2026-09-22T06:16:10.026000+00:00,2026-09-22T06:16:10.746000+00:00,,,720,0.72,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-socioeconomic-status,hms-financial-stress-q1,2,6,2026-09-22T06:16:14.298000+00:00,2026-09-22T06:16:16.362000+00:00,,,2064,2.064,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-socioeconomic-status,hms-financial-stress-q4,2,6,2026-09-22T06:16:19.066000+00:00,2026-09-22T06:16:19.754000+00:00,,,688,0.688,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-socioeconomic-status,hms-financial-stress-q3,1,6,2026-09-22T06:16:22.194000+00:00,2026-09-22T06:16:23.946000+00:00,,,1752,1.752,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-socioeconomic-status,hms-financial-stress-q5,"[""2"",""3""]",7,2026-09-22T06:16:27.322000+00:00,2026-09-22T06:16:29.658000+00:00,,,2336,2.336,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-scholarship-status,hms-financial-stress-q10,"[""2""]",7,2026-09-22T06:16:31.754000+00:00,2026-09-22T06:16:33.986000+00:00,,,2232,2.232,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-financial-stress,hms-financial-stress-financing-education,hms-financial-stress-q9,2,6,2026-09-22T06:16:36.354000+00:00,2026-09-22T06:16:37.290000+00:00,,,936,0.936,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-overall-academic-experience,hms-academic-persistence-retention-and-competition-q8,3,5,2026-09-22T06:17:25.811000+00:00,2026-09-22T06:17:26.675000+00:00,,,864,0.864,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-overall-academic-experience,hms-academic-persistence-retention-and-competition-q6,2,6,2026-09-22T06:17:29.524000+00:00,2026-09-22T06:17:30.667000+00:00,,,1143,1.143,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-overall-academic-experience,hms-academic-persistence-retention-and-competition-q7,"[""2"",""5""]",6,2026-09-22T06:17:34.716000+00:00,2026-09-22T06:17:36.531000+00:00,,,1815,1.815,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-overall-academic-experience,hms-academic-persistence-retention-and-competition-q10,3,6,2026-09-22T06:17:38.772000+00:00,2026-09-22T06:17:39.603000+00:00,,,831,0.831,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-overall-academic-experience,hms-academic-persistence-retention-and-competition-q11,"{""hms-academic-persistence-retention-and-competition-q11-i0"":""1"",""hms-academic-persistence-retention-and-competition-q11-i1"":""1""}",7,2026-09-22T06:17:43.108000+00:00,2026-09-22T06:17:45.180000+00:00,,,2072,2.072,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-overall-academic-experience,hms-academic-persistence-retention-and-competition-q9,2,6,2026-09-22T06:17:47.804000+00:00,2026-09-22T06:17:48.732000+00:00,,,928,0.928,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-faculty-advising-ph-d-students,hms-academic-persistence-retention-and-competition-q13,1,6,2026-09-22T06:17:54.372000+00:00,2026-09-22T06:17:57.076000+00:00,,,2704,2.704,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-perceived-competition,hms-academic-persistence-retention-and-competition-q3,2,5,2026-09-22T06:18:02.500000+00:00,2026-09-22T06:18:03.828000+00:00,,,1328,1.328,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-perceived-competition,hms-academic-persistence-retention-and-competition-q2,"{""hms-academic-persistence-retention-and-competition-q2-i0"":""2"",""hms-academic-persistence-retention-and-competition-q2-i1"":""2"",""hms-academic-persistence-retention-and-competition-q2-i2"":""2""}",7,2026-09-22T06:18:06.341000+00:00,2026-09-22T06:18:09.308000+00:00,,,2967,2.967,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-overall-social-experience,hms-academic-persistence-retention-and-competition-q14,2,6,2026-09-22T06:18:12.181000+00:00,2026-09-22T06:18:12.844000+00:00,,,663,0.663,
1,070a71b6-f34f-4aad-9f44-516cffa72e65,hms-academic-persistence-retention-and-competition,hms-academic-persistence-retention-and-competition-imposter-syndrome,hms-academic-persistence-retention-and-competition-q5,"{""hms-academic-persistence-retention-and-competition-q5-i0"":""1"",""hms-academic-persistence-retention-and-competition-q5-i1"":""2"",""hms-academic-persistence-retention-and-competition-q5-i2"":""2"",""hms-academic-persistence-retention-and-competition-q5-i3"":""2"",""hms-academic-persistence-retention-and-competition-q5-i4"":""2""}",7,2026-09-22T06:18:16.684000+00:00,2026-09-22T06:18:21.492000+00:00,,,4808,4.808,
